Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
Sun(alt: 2.02, azm: 310.00) Storm(clouds=42%, precipitation=2%, wind=40%)            Location(x=106.416290, y=-12.711931, z=0.599999)
